subsample,colsample_bytree,colsample_bylevel,learning_rate,max_depth,gamma,n_estimators,Accuracy_Mean,Precision_Mean,Recall_Mean,Specificity_Mean,RocAuc_Mean,LogLoss_Mean,Leaves_Mean,Time_MeanFold
0.05,1.0,0.05,0.01,3.0,5.0,700,0.9070652173913043,0.9514899017626023,0.8055172413793104,0.9730941704035875,0.9654004948198546,0.3221186280250549,1247.6,0.23365711679216475
1.0,1.0,0.05,0.01,3.0,5.0,50,0.7891304347826087,0.9870862999395932,0.4710344827586207,0.9959641255605381,0.9635201793721972,0.5389878749847412,296.8,0.029392041568644344
0.05,0.05,1.0,0.01,3.0,5.0,700,0.895108695652174,0.9544702289588216,0.7710344827586206,0.9757847533632287,0.9642825112107622,0.34627302885055544,1157.6,0.22419035837519913
1.0,0.05,1.0,0.01,3.0,5.0,50,0.6584239130434782,0.9949999999999999,0.13379310344827586,0.9995515695067265,0.9548523271996288,0.5896931767463685,251.2,0.028342091618105768
0.05,1.0,1.0,0.01,3.0,5.0,50,0.8698369565217391,0.9783896554289987,0.6848275862068964,0.9901345291479821,0.9555427555280656,0.4915797710418701,220.6,0.03276236660312861
1.0,1.0,1.0,0.01,3.0,5.0,700,0.9410326086956522,0.9428227243662333,0.9062068965517242,0.963677130044843,0.9847881552497295,0.15943679213523865,3929.2,0.41064922481309624
0.05,0.05,0.05,0.3,3.0,5.0,700,0.919836956521739,0.9261994882693527,0.8668965517241378,0.9542600896860985,0.9658976341425699,0.2276049256324768,740.8,0.16986025841906666
1.0,0.05,0.05,0.3,3.0,5.0,50,0.9179347826086957,0.9254808587991755,0.8613793103448277,0.9547085201793722,0.9687420751507654,0.23597560226917266,137.2,0.022626749845221637
0.05,1.0,0.05,0.3,3.0,5.0,50,0.8975543478260869,0.9102444809235062,0.8213793103448275,0.947085201793722,0.9493629194371425,0.2907844543457031,74.8,0.01759870823007077
1.0,1.0,0.05,0.3,3.0,5.0,700,0.9440217391304347,0.9456169857949372,0.9110344827586208,0.9654708520179373,0.9829650533477656,0.16006393432617189,863.6,0.16144738339353354
0.05,0.05,1.0,0.3,3.0,5.0,50,0.8948369565217391,0.9098739817932809,0.8151724137931036,0.9466367713004485,0.9517635688882017,0.28813502192497253,73.0,0.017780741839669646
1.0,0.05,1.0,0.3,3.0,5.0,700,0.9478260869565217,0.9528492316119241,0.913103448275862,0.9704035874439463,0.9836090923148291,0.15671013593673705,885.2,0.16868971679359673
